,tau (sec),std (ppm)
0,1,69.28763388713328
1,2,50.75703823997524
2,3,41.800285751282715
3,4,36.8426949121319
4,5,33.284751263403884
5,6,30.30838521409074
6,7,28.616285157266766
7,8,27.524480411112386
8,9,26.17360561532875
9,10,25.380855075190556
10,11,24.533657969221228
11,12,23.446307506058034
12,13,22.07900286227218
13,14,20.52722755641359
14,15,18.504047878201888
15,16,16.77379314703637
16,17,15.444100770919773
17,18,14.473052088627492
18,19,13.581119007583455
19,20,12.446549531420153
20,21,11.503353235555148
21,22,10.973650540193438
22,23,10.695290238818247
23,24,10.337637712370377
24,26,9.749495587779183
25,27,9.422793384203521
26,28,9.233889272864038
27,30,9.079467228103136
28,31,9.185270478858403
29,33,9.398077789190323
30,34,9.405357866009297
31,36,9.222631269789199
32,38,9.263539531990157
33,39,9.330976390069313
34,41,9.385280261947903
35,43,9.403425546529743
36,46,9.401710312708884
37,48,9.362531391008472
38,50,9.34189088639625
39,53,9.496343349624794
40,55,9.672854639821528
41,58,9.802108207654548
42,61,10.071162513891569
43,64,10.08422274306945
44,67,9.858122121655066
45,70,9.66521520568325
46,74,9.116301074445607
47,78,8.631230779418432
48,82,8.426858203594453
49,86,7.860602668310574
50,90,7.334478085253837
51,94,6.658904332886045
52,99,5.704417629778342
53,104,4.5692059145810235
54,109,3.1615375168045126
55,114,1.4341105369746348
56,120,2.3924345457202283
